"Naziv";"Woolf d.o.o."
"Adresa sjedišta";"Ograda 14, Vratišinec"
"OIB";"45374311169"
"Oblik prodajnog objekta";"Webshop"
"Oznaka prodajnog prostora";"160"
"Broj skladišta";"02"
"Datum cjenika";"20. 09. 2026."

"Naziv proizvoda";"Šifra";"Marka";"Jedinica mjere";"Cijena za jedinicu mjere (EUR)";"Maloprodajna cijena (EUR)";"Poseban oblik prodaje";"Naziv posebnog oblika prodaje";"Sidrena cijena – cijena na dan 10. 09. 2026. (EUR)";"Barkod";"Dostupnost";"Varijante i dostupnost";"Barkodovi varijanti";"Kategorija";"Poveznica"
"LEON KOŽNE ANATOMSKE KLOMPE";"2022_N_SILVER";"LEON";"kom";"44,99";"44,99";"DA";"Akcija";"44,99";"Nije dodijeljen";"Dostupno";"Veličina 36, srebrna: Nedostupno | Veličina 37, srebrna: Dostupno | Veličina 38, srebrna: Dostupno | Veličina 39, srebrna: Dostupno | Veličina 40, srebrna: Nedostupno | Veličina 41, srebrna: Dostupno";"Nije dodijeljen";"Žensko - Obuća - Anatomska obuća - Klompe";"https://woolf.hr/kozne-anatomske-klompe-proizvod-11752/"
"LEON KOŽNE ANATOMSKE KLOMPE";"2022_N_WHITE";"LEON";"kom";"44,99";"44,99";"DA";"Akcija";"44,99";"Nije dodijeljen";"Dostupno";"Veličina 36, bijela: Nedostupno | Veličina 37, bijela: Dostupno | Veličina 38, bijela: Dostupno | Veličina 39, bijela: Dostupno | Veličina 40, bijela: Dostupno | Veličina 41, bijela: Dostupno";"Nije dodijeljen";"Žensko - Obuća - Anatomska obuća - Klompe";"https://woolf.hr/kozne-anatomske-klompe-proizvod-11750/"
"LEON KOŽNE ANATOMSKE KLOMPE";"2023_BLACK_L";"LEON";"kom";"44,99";"44,99";"DA";"Akcija";"44,99";"Nije dodijeljen";"Dostupno";"Veličina 36, crna: Dostupno | Veličina 37, crna: Nedostupno | Veličina 38, crna: Dostupno | Veličina 39, crna: Dostupno | Veličina 40, crna: Dostupno | Veličina 41, crna: Dostupno";"Nije dodijeljen";"Žensko - Obuća - Anatomska obuća - Klompe";"https://woolf.hr/kozne-anatomske-klompe-proizvod-12795/"
"LEON KOŽNE ANATOMSKE KLOMPE";"2023_PERLA_L";"LEON";"kom";"44,99";"44,99";"DA";"Akcija";"44,99";"Nije dodijeljen";"Dostupno";"Veličina 36, srebrna: Dostupno | Veličina 37, srebrna: Dostupno | Veličina 38, srebrna: Dostupno | Veličina 39, srebrna: Dostupno | Veličina 40, srebrna: Dostupno | Veličina 41, srebrna: Dostupno";"Nije dodijeljen";"Žensko - Obuća - Anatomska obuća - Klompe";"https://woolf.hr/kozne-anatomske-klompe-proizvod-12793/"
"LEON KOŽNE ANATOMSKE KLOMPE";"2023_WHITE_L";"LEON";"kom";"44,99";"44,99";"DA";"Akcija";"44,99";"Nije dodijeljen";"Dostupno";"Veličina 36, bijela: Nedostupno | Veličina 37, bijela: Nedostupno | Veličina 38, bijela: Dostupno | Veličina 39, bijela: Dostupno | Veličina 40, bijela: Nedostupno | Veličina 41, bijela: Nedostupno";"Nije dodijeljen";"Žensko - Obuća - Anatomska obuća - Klompe";"https://woolf.hr/kozne-anatomske-klompe-proizvod-12819/"
"LEON KOŽNE ANATOMSKE KLOMPE";"3300_N_BLACK";"LEON";"kom";"39,99";"39,99";"DA";"Akcija";"39,99";"Nije dodijeljen";"Dostupno";"Veličina 36, crna: Dostupno | Veličina 37, crna: Dostupno | Veličina 38, crna: Dostupno | Veličina 39, crna: Dostupno | Veličina 40, crna: Dostupno | Veličina 41, crna: Dostupno";"Nije dodijeljen";"Žensko - Obuća - Anatomska obuća - Klompe";"https://woolf.hr/kozne-anatomske-klompe-proizvod-11745/"
"LEON KOŽNE ANATOMSKE KLOMPE";"3300_N_PERLA";"LEON";"kom";"39,99";"39,99";"DA";"Akcija";"39,99";"Nije dodijeljen";"Dostupno";"Veličina 36, srebrna: Dostupno | Veličina 37, srebrna: Dostupno | Veličina 38, srebrna: Dostupno | Veličina 39, srebrna: Dostupno | Veličina 40, srebrna: Dostupno | Veličina 41, srebrna: Dostupno";"Nije dodijeljen";"Žensko - Obuća - Anatomska obuća - Klompe";"https://woolf.hr/kozne-anatomske-klompe-proizvod-11746/"
"LEON KOŽNE ANATOMSKE KLOMPE";"3300_N_WHITE";"LEON";"kom";"39,99";"39,99";"DA";"Akcija";"39,99";"Nije dodijeljen";"Dostupno";"Veličina 36, bijela: Dostupno | Veličina 37, bijela: Dostupno | Veličina 38, bijela: Dostupno | Veličina 39, bijela: Dostupno | Veličina 40, bijela: Dostupno | Veličina 41, bijela: Dostupno";"Nije dodijeljen";"Žensko - Obuća - Anatomska obuća - Klompe";"https://woolf.hr/kozne-anatomske-klompe-proizvod-11747/"
"LEON KOŽNE ANATOMSKE KLOMPE";"4250_BLACK";"LEON";"kom";"44,99";"44,99";"DA";"Akcija";"44,99";"Nije dodijeljen";"Dostupno";"Veličina 35, crna: Nedostupno | Veličina 36, crna: Nedostupno | Veličina 37, crna: Nedostupno | Veličina 38, crna: Dostupno | Veličina 39, crna: Dostupno | Veličina 40, crna: Dostupno | Veličina 41, crna: Nedostupno | Veličina 42, crna: Nedostupno";"Nije dodijeljen";"Žensko - Obuća - Anatomska obuća - Klompe";"https://woolf.hr/kozne-anatomske-klompe-proizvod-7451/"
"LEON KOŽNE ANATOMSKE KLOMPE";"4250_WHITE";"LEON";"kom";"44,99";"44,99";"DA";"Akcija";"44,99";"Nije dodijeljen";"Dostupno";"Veličina 35, bijela: Nedostupno | Veličina 36, bijela: Nedostupno | Veličina 37, bijela: Nedostupno | Veličina 38, bijela: Dostupno | Veličina 39, bijela: Dostupno | Veličina 40, bijela: Nedostupno | Veličina 41, bijela: Nedostupno | Veličina 42, bijela: Nedostupno";"Nije dodijeljen";"Žensko - Obuća - Anatomska obuća - Klompe";"https://woolf.hr/kozne-anatomske-klompe-proizvod-9251/"
"LEON KOŽNE ANATOMSKE KLOMPE";"4251_MINT_SILVER";"LEON";"kom";"42,99";"42,99";"DA";"Akcija";"42,99";"Nije dodijeljen";"Dostupno";"Veličina 35, zelena: Nedostupno | Veličina 36, zelena: Dostupno | Veličina 37, zelena: Dostupno | Veličina 38, zelena: Nedostupno | Veličina 39, zelena: Nedostupno | Veličina 40, zelena: Nedostupno | Veličina 41, zelena: Nedostupno | Veličina 42, zelena: Nedostupno";"Nije dodijeljen";"Žensko - Obuća - Anatomska obuća - Klompe";"https://woolf.hr/kozne-anatomske-klompe-proizvod-9257/"
"LEON KOŽNE ANATOMSKE KLOMPE";"4251_PERLA";"LEON";"kom";"42,99";"42,99";"DA";"Akcija";"42,99";"Nije dodijeljen";"Dostupno";"Veličina 35, srebrna: Nedostupno | Veličina 36, srebrna: Dostupno | Veličina 37, srebrna: Nedostupno | Veličina 38, srebrna: Nedostupno | Veličina 39, srebrna: Nedostupno | Veličina 40, srebrna: Nedostupno | Veličina 41, srebrna: Nedostupno | Veličina 42, srebrna: Nedostupno";"Nije dodijeljen";"Žensko - Obuća - Anatomska obuća - Klompe";"https://woolf.hr/kozne-anatomske-klompe-proizvod-11068/"
"LEON KOŽNE ANATOMSKE KLOMPE";"5001_BLACK";"LEON";"kom";"44,99";"44,99";"DA";"Akcija";"44,99";"Nije dodijeljen";"Dostupno";"Veličina 36, crna: Dostupno | Veličina 37, crna: Nedostupno | Veličina 38, crna: Dostupno | Veličina 39, crna: Dostupno | Veličina 40, crna: Dostupno | Veličina 41, crna: Dostupno";"Nije dodijeljen";"Žensko - Obuća - Anatomska obuća - Klompe";"https://woolf.hr/kozne-anatomske-klompe-proizvod-9255/"
"LEON KOŽNE ANATOMSKE KLOMPE";"5001_N_BLACK";"LEON";"kom";"44,99";"44,99";"DA";"Akcija";"44,99";"Nije dodijeljen";"Dostupno";"Veličina 36, crna: Dostupno | Veličina 37, crna: Nedostupno | Veličina 38, crna: Nedostupno | Veličina 39, crna: Nedostupno | Veličina 40, crna: Nedostupno | Veličina 41, crna: Nedostupno";"Nije dodijeljen";"Žensko - Obuća - Anatomska obuća - Klompe";"https://woolf.hr/kozne-anatomske-klompe-proizvod-11951/"
"LEON KOŽNE ANATOMSKE KLOMPE";"5001_PERLA";"LEON";"kom";"44,99";"44,99";"DA";"Akcija";"44,99";"Nije dodijeljen";"Dostupno";"Veličina 36, srebrna: Dostupno | Veličina 37, srebrna: Dostupno | Veličina 38, srebrna: Dostupno | Veličina 39, srebrna: Dostupno | Veličina 40, srebrna: Nedostupno | Veličina 41, srebrna: Dostupno";"Nije dodijeljen";"Žensko - Obuća - Anatomska obuća - Klompe";"https://woolf.hr/kozne-anatomske-klompe-proizvod-8979/"
"LEON KOŽNE ANATOMSKE KLOMPE";"5001_RED";"LEON";"kom";"36,99";"36,99";"DA";"Akcija";"36,99";"Nije dodijeljen";"Dostupno";"Veličina 36, crvena: Dostupno | Veličina 37, crvena: Nedostupno | Veličina 38, crvena: Nedostupno | Veličina 39, crvena: Nedostupno | Veličina 40, crvena: Nedostupno | Veličina 41, crvena: Nedostupno";"Nije dodijeljen";"Žensko - Obuća - Anatomska obuća - Klompe";"https://woolf.hr/kozne-anatomske-klompe-proizvod-8980/"
"LEON KOŽNE ANATOMSKE KLOMPE";"5001_WHITE";"LEON";"kom";"44,99";"44,99";"DA";"Akcija";"44,99";"Nije dodijeljen";"Dostupno";"Veličina 36, bijela: Dostupno | Veličina 37, bijela: Dostupno | Veličina 38, bijela: Nedostupno | Veličina 39, bijela: Nedostupno | Veličina 40, bijela: Dostupno | Veličina 41, bijela: Dostupno";"Nije dodijeljen";"Žensko - Obuća - Anatomska obuća - Klompe";"https://woolf.hr/kozne-anatomske-klompe-proizvod-8981/"
"LEON KOŽNE ANATOMSKE KLOMPE";"5002_N_BLACK";"LEON";"kom";"42,99";"42,99";"DA";"Akcija";"42,99";"Nije dodijeljen";"Dostupno";"Veličina 36, crna: Dostupno | Veličina 37, crna: Dostupno | Veličina 38, crna: Dostupno | Veličina 39, crna: Dostupno | Veličina 40, crna: Dostupno | Veličina 41, crna: Dostupno";"Nije dodijeljen";"Žensko - Obuća - Anatomska obuća - Klompe";"https://woolf.hr/kozne-anatomske-klompe-proizvod-11759/"
"LEON KOŽNE ANATOMSKE KLOMPE";"5002_N_PERLA";"LEON";"kom";"42,99";"42,99";"DA";"Akcija";"42,99";"Nije dodijeljen";"Dostupno";"Veličina 36, srebrna: Dostupno | Veličina 37, srebrna: Dostupno | Veličina 38, srebrna: Nedostupno | Veličina 39, srebrna: Dostupno | Veličina 40, srebrna: Dostupno | Veličina 41, srebrna: Dostupno";"Nije dodijeljen";"Žensko - Obuća - Anatomska obuća - Klompe";"https://woolf.hr/kozne-anatomske-klompe-proizvod-11757/"
"LEON KOŽNE ANATOMSKE KLOMPE";"5002_N_WHITE";"LEON";"kom";"42,99";"42,99";"DA";"Akcija";"42,99";"Nije dodijeljen";"Dostupno";"Veličina 36, bijela: Dostupno | Veličina 37, bijela: Dostupno | Veličina 38, bijela: Dostupno | Veličina 39, bijela: Dostupno | Veličina 40, bijela: Nedostupno | Veličina 41, bijela: Dostupno";"Nije dodijeljen";"Žensko - Obuća - Anatomska obuća - Klompe";"https://woolf.hr/kozne-anatomske-klompe-proizvod-11758/"
"LEON KOŽNE ANATOMSKE KLOMPE";"KO154_RED_W";"LEON";"kom";"35,99";"35,99";"DA";"Akcija";"35,99";"Nije dodijeljen";"Dostupno";"Veličina 36, crvena: Nedostupno | Veličina 37, crvena: Dostupno | Veličina 38, crvena: Dostupno | Veličina 39, crvena: Dostupno | Veličina 40, crvena: Nedostupno | Veličina 41, crvena: Nedostupno";"Nije dodijeljen";"Žensko - Obuća - Anatomska obuća - Klompe";"https://woolf.hr/kozne-anatomske-klompe-proizvod-12634/"
"LEON KOŽNE ANATOMSKE KLOMPE";"KO360_BLACK";"LEON";"kom";"39,99";"39,99";"DA";"Akcija";"39,99";"Nije dodijeljen";"Dostupno";"Veličina 36, crna: Dostupno | Veličina 37, crna: Dostupno | Veličina 38, crna: Nedostupno | Veličina 39, crna: Nedostupno | Veličina 40, crna: Nedostupno | Veličina 41, crna: Nedostupno | Veličina 42, crna: Nedostupno";"Nije dodijeljen";"Žensko - Obuća - Anatomska obuća - Klompe";"https://woolf.hr/kozne-anatomske-klompe-proizvod-12775/"
"LEON KOŽNE ANATOMSKE KLOMPE";"KO360_BLUE";"LEON";"kom";"39,99";"39,99";"DA";"Akcija";"39,99";"Nije dodijeljen";"Dostupno";"Veličina 36, plava: Dostupno | Veličina 37, plava: Dostupno | Veličina 38, plava: Nedostupno | Veličina 39, plava: Nedostupno | Veličina 40, plava: Nedostupno | Veličina 41, plava: Dostupno | Veličina 42, plava: Dostupno";"Nije dodijeljen";"Žensko - Obuća - Anatomska obuća - Klompe";"https://woolf.hr/kozne-anatomske-klompe-proizvod-12632/"
"LEON KOŽNE ANATOMSKE KLOMPE";"KO360_RED";"LEON";"kom";"39,99";"39,99";"DA";"Akcija";"39,99";"Nije dodijeljen";"Dostupno";"Veličina 36, crvena: Dostupno | Veličina 37, crvena: Dostupno | Veličina 38, crvena: Nedostupno | Veličina 39, crvena: Nedostupno | Veličina 40, crvena: Dostupno | Veličina 41, crvena: Nedostupno | Veličina 42, crvena: Nedostupno";"Nije dodijeljen";"Žensko - Obuća - Anatomska obuća - Klompe";"https://woolf.hr/kozne-anatomske-klompe-proizvod-12631/"
"LEON KOŽNE ANATOMSKE KLOMPE";"KO950_BLUE";"LEON";"kom";"39,99";"39,99";"DA";"Akcija";"39,99";"Nije dodijeljen";"Dostupno";"Veličina 36, plava: Dostupno | Veličina 37, plava: Dostupno | Veličina 38, plava: Nedostupno | Veličina 39, plava: Nedostupno | Veličina 40, plava: Nedostupno | Veličina 41, plava: Nedostupno";"Nije dodijeljen";"Žensko - Obuća - Anatomska obuća - Klompe";"https://woolf.hr/kozne-anatomske-klompe-proizvod-12889/"
"LEON KOŽNE ANATOMSKE KLOMPE";"KO951_BLACK";"LEON";"kom";"39,99";"39,99";"DA";"Akcija";"39,99";"Nije dodijeljen";"Dostupno";"Veličina 36, crna: Dostupno | Veličina 37, crna: Dostupno | Veličina 38, crna: Nedostupno | Veličina 39, crna: Nedostupno | Veličina 40, crna: Nedostupno | Veličina 41, crna: Dostupno";"Nije dodijeljen";"Žensko - Obuća - Anatomska obuća - Klompe";"https://woolf.hr/kozne-anatomske-klompe-proizvod-12633/"
"LEON KOŽNE ANATOMSKE KLOMPE";"KO953_BLACK";"LEON";"kom";"39,99";"39,99";"DA";"Akcija";"39,99";"Nije dodijeljen";"Dostupno";"Veličina 36, crna: Nedostupno | Veličina 37, crna: Dostupno | Veličina 38, crna: Dostupno | Veličina 39, crna: Nedostupno | Veličina 40, crna: Nedostupno | Veličina 41, crna: Nedostupno";"Nije dodijeljen";"Žensko - Obuća - Anatomska obuća - Klompe";"https://woolf.hr/kozne-anatomske-klompe-proizvod-12625/"
"LEON KOŽNE ANATOMSKE KLOMPE";"KO2019_BLACK";"LEON";"kom";"49,99";"49,99";"DA";"Akcija";"49,99";"Nije dodijeljen";"Dostupno";"Veličina 36, crna: Nedostupno | Veličina 37, crna: Dostupno | Veličina 38, crna: Nedostupno | Veličina 39, crna: Nedostupno | Veličina 40, crna: Nedostupno | Veličina 41, crna: Dostupno";"Nije dodijeljen";"Žensko - Obuća - Anatomska obuća - Klompe";"https://woolf.hr/kozne-anatomske-klompe-proizvod-12628/"
"LEON KOŽNE ANATOMSKE KLOMPE";"KO2019_RED";"LEON";"kom";"49,99";"49,99";"DA";"Akcija";"49,99";"Nije dodijeljen";"Dostupno";"Veličina 36, crvena: Nedostupno | Veličina 37, crvena: Nedostupno | Veličina 38, crvena: Nedostupno | Veličina 39, crvena: Nedostupno | Veličina 40, crvena: Dostupno | Veličina 41, crvena: Dostupno";"Nije dodijeljen";"Žensko - Obuća - Anatomska obuća - Klompe";"https://woolf.hr/kozne-anatomske-klompe-proizvod-12629/"
"LEON KOŽNE ANATOMSKE KLOMPE";"KO2019_WHITE";"LEON";"kom";"49,99";"49,99";"DA";"Akcija";"49,99";"Nije dodijeljen";"Dostupno";"Veličina 36, bijela: Nedostupno | Veličina 37, bijela: Dostupno | Veličina 38, bijela: Nedostupno | Veličina 39, bijela: Dostupno | Veličina 40, bijela: Dostupno | Veličina 41, bijela: Nedostupno";"Nije dodijeljen";"Žensko - Obuća - Anatomska obuća - Klompe";"https://woolf.hr/kozne-anatomske-klompe-proizvod-12630/"
"LEON KOŽNE ANATOMSKE KLOMPE";"KO3100_BLACK";"LEON";"kom";"29,99";"29,99";"DA";"Akcija";"29,99";"Nije dodijeljen";"Dostupno";"Veličina 36, crna: Nedostupno | Veličina 37, crna: Nedostupno | Veličina 38, crna: Dostupno | Veličina 39, crna: Nedostupno | Veličina 40, crna: Nedostupno | Veličina 41, crna: Nedostupno | Veličina 42, crna: Nedostupno";"Nije dodijeljen";"Žensko - Obuća - Anatomska obuća - Klompe";"https://woolf.hr/kozne-anatomske-klompe-proizvod-12887/"
"LEON KOŽNE ANATOMSKE KLOMPE";"KO3100_WHITE";"LEON";"kom";"29,99";"29,99";"DA";"Akcija";"29,99";"Nije dodijeljen";"Dostupno";"Veličina 36, bijela: Nedostupno | Veličina 37, bijela: Dostupno | Veličina 38, bijela: Nedostupno | Veličina 39, bijela: Nedostupno | Veličina 40, bijela: Nedostupno | Veličina 41, bijela: Nedostupno | Veličina 42, bijela: Nedostupno";"Nije dodijeljen";"Žensko - Obuća - Anatomska obuća - Klompe";"https://woolf.hr/kozne-anatomske-klompe-proizvod-12886/"
"LEON KOŽNE ANATOMSKE KLOMPE";"KOV202_PINK";"LEON";"kom";"32,99";"32,99";"DA";"Akcija";"32,99";"Nije dodijeljen";"Dostupno";"Veličina 36, pink: Dostupno | Veličina 37, pink: Nedostupno | Veličina 38, pink: Nedostupno | Veličina 39, pink: Nedostupno | Veličina 40, pink: Nedostupno | Veličina 41, pink: Nedostupno | Veličina 42, pink: Nedostupno";"Nije dodijeljen";"Žensko - Obuća - Anatomska obuća - Klompe";"https://woolf.hr/kozne-anatomske-klompe-proizvod-12891/"
"LEON KOŽNE ANATOMSKE KLOMPE";"KOV261_BLUE";"LEON";"kom";"36,99";"36,99";"NE";"";"36,99";"Nije dodijeljen";"Dostupno";"Veličina 36, plava: Dostupno | Veličina 37, plava: Dostupno | Veličina 38, plava: Dostupno | Veličina 39, plava: Dostupno | Veličina 40, plava: Nedostupno | Veličina 41, plava: Nedostupno | Veličina 42, plava: Nedostupno";"Nije dodijeljen";"Žensko - Obuća - Anatomska obuća - Klompe";"https://woolf.hr/kozne-anatomske-klompe-proizvod-12890/"
"LEON KOŽNE ANATOMSKE KLOMPE";"PU_100_36_41blk";"LEON";"kom";"31,99";"31,99";"DA";"Akcija";"31,99";"Nije dodijeljen";"Dostupno";"Veličina 36, crna: Dostupno | Veličina 37, crna: Nedostupno | Veličina 38, crna: Dostupno | Veličina 39, crna: Dostupno | Veličina 40, crna: Dostupno | Veličina 41, crna: Dostupno | Veličina 42, crna: Nedostupno";"Nije dodijeljen";"Žensko - Obuća - Anatomska obuća - Klompe";"https://woolf.hr/kozna-anatomska-klompa-proizvod-471/"
"LEON KOŽNE ANATOMSKE KLOMPE";"PU_100_36_41wht";"LEON";"kom";"31,99";"31,99";"DA";"Akcija";"31,99";"Nije dodijeljen";"Dostupno";"Veličina 36, bijela: Dostupno | Veličina 37, bijela: Dostupno | Veličina 38, bijela: Nedostupno | Veličina 39, bijela: Dostupno | Veličina 40, bijela: Dostupno | Veličina 41, bijela: Dostupno | Veličina 42, bijela: Nedostupno";"Nije dodijeljen";"Žensko - Obuća - Anatomska obuća - Klompe";"https://woolf.hr/kozna-anatomska-klompa-proizvod-472/"
"LEON KOŽNE ANATOMSKE KLOMPE";"PU_100_M_WHITE";"LEON";"kom";"33,99";"33,99";"DA";"Akcija";"33,99";"Nije dodijeljen";"Dostupno";"Veličina 41, bijela: Dostupno | Veličina 42, bijela: Dostupno | Veličina 43, bijela: Dostupno | Veličina 44, bijela: Dostupno | Veličina 45, bijela: Dostupno | Veličina 46, bijela: Nedostupno";"Nije dodijeljen";"Muško - Obuća - Anatomska obuća - Klompe";"https://woolf.hr/kozne-anatomske-klompe-proizvod-8719/"
"LEON KOŽNE ANATOMSKE KLOMPE";"PU_100_MINT";"LEON";"kom";"31,99";"31,99";"DA";"Akcija";"31,99";"Nije dodijeljen";"Dostupno";"Veličina 36, zelena: Dostupno | Veličina 37, zelena: Dostupno | Veličina 38, zelena: Dostupno | Veličina 39, zelena: Nedostupno | Veličina 40, zelena: Nedostupno | Veličina 41, zelena: Dostupno | Veličina 42, zelena: Dostupno";"Nije dodijeljen";"Žensko - Obuća - Anatomska obuća - Klompe";"https://woolf.hr/kozne-anatomske-klompe-proizvod-7030/"
"LEON KOŽNE ANATOMSKE KLOMPE";"PU_100_N_PERLA";"LEON";"kom";"31,99";"31,99";"DA";"Akcija";"31,99";"Nije dodijeljen";"Dostupno";"Veličina 36, pink: Dostupno | Veličina 37, pink: Dostupno | Veličina 38, pink: Dostupno | Veličina 39, pink: Nedostupno | Veličina 40, pink: Dostupno | Veličina 41, pink: Dostupno | Veličina 42, pink: Dostupno";"Nije dodijeljen";"Žensko - Obuća - Anatomska obuća - Klompe";"https://woolf.hr/kozne-anatomske-klompe-proizvod-11546/"
"LEON KOŽNE ANATOMSKE KLOMPE";"PU_100_N_SILVER";"LEON";"kom";"31,99";"31,99";"DA";"Akcija";"31,99";"Nije dodijeljen";"Dostupno";"Veličina 36, srebrna: Dostupno | Veličina 37, srebrna: Dostupno | Veličina 38, srebrna: Dostupno | Veličina 39, srebrna: Dostupno | Veličina 40, srebrna: Dostupno | Veličina 41, srebrna: Nedostupno | Veličina 42, srebrna: Dostupno";"Nije dodijeljen";"Žensko - Obuća - Anatomska obuća - Klompe";"https://woolf.hr/kozne-anatomske-klompe-proizvod-11547/"
"LEON KOŽNE ANATOMSKE KLOMPE";"PU100_M_BLACK";"LEON";"kom";"33,99";"33,99";"DA";"Akcija";"33,99";"Nije dodijeljen";"Dostupno";"Veličina 41, crna: Dostupno | Veličina 42, crna: Nedostupno | Veličina 43, crna: Dostupno | Veličina 44, crna: Dostupno | Veličina 45, crna: Dostupno | Veličina 46, crna: Dostupno";"Nije dodijeljen";"Muško - Obuća - Anatomska obuća - Klompe";"https://woolf.hr/kozne-anatomske-klompe-proizvod-8718/"
"LEON KOŽNE ANATOMSKE KLOMPE";"PU101_BROWN";"LEON";"kom";"24,99";"24,99";"DA";"Akcija";"24,99";"Nije dodijeljen";"Dostupno";"Veličina 36, smeda: Dostupno | Veličina 37, smeda: Nedostupno | Veličina 38, smeda: Nedostupno | Veličina 39, smeda: Nedostupno | Veličina 40, smeda: Nedostupno | Veličina 41, smeda: Nedostupno | Veličina 42, smeda: Nedostupno | Veličina 43, smeda: Nedostupno | Veličina 44, smeda: Nedostupno | Veličina 45, smeda: Nedostupno | Veličina 46, smeda: Nedostupno";"Nije dodijeljen";"Žensko - Obuća - Anatomska obuća - Klompe";"https://woolf.hr/kozne-anatomske-klompe-proizvod-7200/"
"LEON KOŽNE ANATOMSKE KLOMPE";"PU101_N_BLACK";"LEON";"kom";"24,99";"24,99";"DA";"Akcija";"24,99";"Nije dodijeljen";"Dostupno";"Veličina 36, crna: Dostupno | Veličina 37, crna: Nedostupno | Veličina 38, crna: Nedostupno | Veličina 39, crna: Nedostupno | Veličina 40, crna: Nedostupno | Veličina 41, crna: Nedostupno";"Nije dodijeljen";"Žensko - Obuća - Anatomska obuća - Klompe";"https://woolf.hr/kozne-anatomske-klompe-proizvod-8791/"
"LEON KOŽNE NATIKAČE";"905_BLACK";"LEON";"kom";"39,59";"39,59";"DA";"Akcija";"39,59";"Nije dodijeljen";"Dostupno";"Veličina 36, crna: Dostupno | Veličina 37, crna: Nedostupno | Veličina 38, crna: Nedostupno | Veličina 39, crna: Nedostupno | Veličina 40, crna: Nedostupno | Veličina 41, crna: Nedostupno";"Nije dodijeljen";"Žensko - Obuća - Anatomska obuća - Klompe";"https://woolf.hr/kozne-natikace-proizvod-12876/"
"LEON KOŽNE NATIKAČE";"KO910_BLACK";"LEON";"kom";"36,99";"36,99";"DA";"Akcija";"36,99";"Nije dodijeljen";"Dostupno";"Veličina 36, crna: Dostupno | Veličina 37, crna: Nedostupno | Veličina 38, crna: Nedostupno | Veličina 39, crna: Dostupno | Veličina 40, crna: Dostupno | Veličina 41, crna: Dostupno";"Nije dodijeljen";"Žensko - Obuća - Anatomska obuća - Klompe";"https://woolf.hr/kozne-natikace-proizvod-12623/"
"LEON KOŽNE NATIKAČE";"KO910_WHITE";"LEON";"kom";"36,99";"36,99";"DA";"Akcija";"36,99";"Nije dodijeljen";"Dostupno";"Veličina 36, bijela: Nedostupno | Veličina 37, bijela: Nedostupno | Veličina 38, bijela: Nedostupno | Veličina 39, bijela: Nedostupno | Veličina 40, bijela: Dostupno | Veličina 41, bijela: Nedostupno";"Nije dodijeljen";"Žensko - Obuća - Anatomska obuća - Klompe";"https://woolf.hr/kozne-natikace-proizvod-12624/"
"LEONARDA COMFORT ANATOMSKE KLOMPE";"154412_WHITE";"LEONARDA COMFORT";"kom";"26,99";"26,99";"NE";"";"26,99";"Nije dodijeljen";"Dostupno";"Veličina 37, zelena: Dostupno | Veličina 38, zelena: Dostupno | Veličina 39, zelena: Dostupno | Veličina 40, zelena: Dostupno | Veličina 41, zelena: Dostupno | Veličina 42, zelena: Dostupno";"Nije dodijeljen";"Žensko - Obuća - Anatomska obuća - Klompe";"https://woolf.hr/anatomske-klompe-proizvod-10585/"
"LEONARDA COMFORT ANATOMSKE KLOMPE";"203397_BEIGE";"LEONARDA COMFORT";"kom";"22,99";"22,99";"DA";"Akcija";"22,99";"Nije dodijeljen";"Dostupno";"Veličina 37, sareno: Dostupno | Veličina 38, sareno: Dostupno | Veličina 39, sareno: Dostupno | Veličina 40, sareno: Nedostupno | Veličina 41, sareno: Nedostupno | Veličina 42, sareno: Nedostupno";"Nije dodijeljen";"Žensko - Obuća - Anatomska obuća - Klompe";"https://woolf.hr/anatomske-klompe-proizvod-10362/"
"LEONARDA COMFORT ANATOMSKE KLOMPE";"203397_BLK";"LEONARDA COMFORT";"kom";"22,99";"22,99";"DA";"Akcija";"22,99";"Nije dodijeljen";"Dostupno";"Veličina 37, crna: Dostupno | Veličina 38, crna: Dostupno | Veličina 39, crna: Nedostupno | Veličina 40, crna: Dostupno | Veličina 41, crna: Nedostupno | Veličina 42, crna: Dostupno";"Nije dodijeljen";"Žensko - Obuća - Anatomska obuća - Klompe";"https://woolf.hr/anatomske-klompe-proizvod-12938/"
"LEONARDA COMFORT ANATOMSKE KLOMPE";"203397_GIRL";"LEONARDA COMFORT";"kom";"22,99";"22,99";"DA";"Akcija";"22,99";"Nije dodijeljen";"Dostupno";"Veličina 37, bijela: Dostupno | Veličina 38, bijela: Dostupno | Veličina 39, bijela: Dostupno | Veličina 40, bijela: Nedostupno | Veličina 41, bijela: Dostupno | Veličina 42, bijela: Nedostupno";"Nije dodijeljen";"Žensko - Obuća - Anatomska obuća - Klompe";"https://woolf.hr/anatomske-klompe-proizvod-12937/"
